NWATS=2;
PFIN('o1')=0;
PFOUT('o1')=0;
PRICE(k)=1;

Table CINMAX(i, c) Maximum Inlet Concentration of Contaminant c in Operation i (in ppm)
			C1		C2		C3		C4		C5		C6
          s185       2      4      5      6      1      3
          s186       2      4      5      6      3      1
          s187       2      4      6      1      3      5
          s188       2      4      6      1      5      3
          s189       2      4      6      3      1      5
          s190       2      4      6      3      5      1
          s191       2      4      6      5      1      3
          s192       2      4      6      5      3      1
          s193       2      5      1      3      4      6
          s194       2      5      1      3      6      4
          s195       2      5      1      4      3      6
          s196       2      5      1      4      6      3
          s197       2      5      1      6      3      4
          s198       2      5      1      6      4      3
          s199       2      5      3      1      4      6
          s200       2      5      3      1      6      4
          s201       2      5      3      4      1      6
          s202       2      5      3      4      6      1
          s203       2      5      3      6      1      4
          s204       2      5      3      6      4      1
          s205       2      5      4      1      3      6
          s206       2      5      4      1      6      3
          s207       2      5      4      3      1      6
          s208       2      5      4      3      6      1
          s209       2      5      4      6      1      3
          s210       2      5      4      6      3      1
          s211       2      5      6      1      3      4
          s212       2      5      6      1      4      3
          s213       2      5      6      3      1      4
          s214       2      5      6      3      4      1
          s215       2      5      6      4      1      3
          s216       2      5      6      4      3      1
          s217       2      6      1      3      4      5
          s218       2      6      1      3      5      4
          s219       2      6      1      4      3      5
          s220       2      6      1      4      5      3
          s221       2      6      1      5      3      4
          s222       2      6      1      5      4      3
          s223       2      6      3      1      4      5
          s224       2      6      3      1      5      4
          s225       2      6      3      4      1      5
          s226       2      6      3      4      5      1
          s227       2      6      3      5      1      4
          s228       2      6      3      5      4      1
          s229       2      6      4      1      3      5
          s230       2      6      4      1      5      3
          s231       2      6      4      3      1      5
          s232       2      6      4      3      5      1
          s233       2      6      4      5      1      3
          s234       2      6      4      5      3      1
          s235       2      6      5      1      3      4
          s236       2      6      5      1      4      3
          s237       2      6      5      3      1      4
          s238       2      6      5      3      4      1
          s239       2      6      5      4      1      3
          s240       2      6      5      4      3      1
          s241       3      1      2      4      5      6
          s242       3      1      2      4      6      5
          s243       3      1      2      5      4      6
          s244       3      1      2      5      6      4
          s245       3      1      2      6      4      5
          s246       3      1      2      6      5      4
          s247       3      1      4      2      5      6
          s248       3      1      4      2      6      5
          s249       3      1      4      5      2      6
          s250       3      1      4      5      6      2
          s251       3      1      4      6      2      5
          s252       3      1      4      6      5      2
          s253       3      1      5      2      4      6
          s254       3      1      5      2      6      4
          s255       3      1      5      4      2      6
          s256       3      1      5      4      6      2
          s257       3      1      5      6      2      4
          s258       3      1      5      6      4      2
          s259       3      1      6      2      4      5
          s260       3      1      6      2      5      4
          s261       3      1      6      4      2      5
          s262       3      1      6      4      5      2
          s263       3      1      6      5      2      4
          s264       3      1      6      5      4      2
          s265       3      2      1      4      5      6
          s266       3      2      1      4      6      5
          s267       3      2      1      5      4      6
          s268       3      2      1      5      6      4
          s269       3      2      1      6      4      5
          s270       3      2      1      6      5      4
          s271       3      2      4      1      5      6
          s272       3      2      4      1      6      5
          s273       3      2      4      5      1      6
          s274       3      2      4      5      6      1
          s275       3      2      4      6      1      5
          s276       3      2      4      6      5      1
          s277       3      2      5      1      4      6
          s278       3      2      5      1      6      4
          s279       3      2      5      4      1      6
          s280       3      2      5      4      6      1
          s281       3      2      5      6      1      4
          s282       3      2      5      6      4      1
          s283       3      2      6      1      4      5
          s284       3      2      6      1      5      4
          s285       3      2      6      4      1      5
          s286       3      2      6      4      5      1
          s287       3      2      6      5      1      4
          s288       3      2      6      5      4      1
          s289       3      4      1      2      5      6
          s290       3      4      1      2      6      5
          s291       3      4      1      5      2      6
          s292       3      4      1      5      6      2
          s293       3      4      1      6      2      5
          s294       3      4      1      6      5      2
          s295       3      4      2      1      5      6
          s296       3      4      2      1      6      5
          s297       3      4      2      5      1      6
          s298       3      4      2      5      6      1
          s299       3      4      2      6      1      5
          s300       3      4      2      6      5      1
          s301       3      4      5      1      2      6
          s302       3      4      5      1      6      2
          s303       3      4      5      2      1      6
          s304       3      4      5      2      6      1
          s305       3      4      5      6      1      2
          s306       3      4      5      6      2      1
          s307       3      4      6      1      2      5
          s308       3      4      6      1      5      2
          s309       3      4      6      2      1      5
          s310       3      4      6      2      5      1
          s311       3      4      6      5      1      2
          s312       3      4      6      5      2      1
          s313       3      5      1      2      4      6
          s314       3      5      1      2      6      4
          s315       3      5      1      4      2      6
          s316       3      5      1      4      6      2
          s317       3      5      1      6      2      4
          s318       3      5      1      6      4      2
          s319       3      5      2      1      4      6
          s320       3      5      2      1      6      4
          s321       3      5      2      4      1      6
          s322       3      5      2      4      6      1
          s323       3      5      2      6      1      4
          s324       3      5      2      6      4      1
          s325       3      5      4      1      2      6
          s326       3      5      4      1      6      2
          s327       3      5      4      2      1      6
          s328       3      5      4      2      6      1
          s329       3      5      4      6      1      2
          s330       3      5      4      6      2      1
          s331       3      5      6      1      2      4
          s332       3      5      6      1      4      2
          s333       3      5      6      2      1      4
          s334       3      5      6      2      4      1
          s335       3      5      6      4      1      2
          s336       3      5      6      4      2      1
          s337       3      6      1      2      4      5
          s338       3      6      1      2      5      4
          s339       3      6      1      4      2      5
          s340       3      6      1      4      5      2
          s341       3      6      1      5      2      4
          s342       3      6      1      5      4      2
          s343       3      6      2      1      4      5
          s344       3      6      2      1      5      4
          s345       3      6      2      4      1      5
          s346       3      6      2      4      5      1
          s347       3      6      2      5      1      4
          s348       3      6      2      5      4      1
          s349       3      6      4      1      2      5
          s350       3      6      4      1      5      2
          s351       3      6      4      2      1      5
          s352       3      6      4      2      5      1
          s353       3      6      4      5      1      2
          s354       3      6      4      5      2      1
          s355       3      6      5      1      2      4
          s356       3      6      5      1      4      2
          s357       3      6      5      2      1      4
          s358       3      6      5      2      4      1
          s359       3      6      5      4      1      2
          s360       3      6      5      4      2      1
          s361       4      1      2      3      5      6
          s362       4      1      2      3      6      5
          s363       4      1      2      5      3      6
          s364       4      1      2      5      6      3
          s365       4      1      2      6      3      5
          s366       4      1      2      6      5      3
          s367       4      1      3      2      5      6
          s368       4      1      3      2      6      5
          s369       4      1      3      5      2      6
          s370       4      1      3      5      6      2
          s371       4      1      3      6      2      5
          s372       4      1      3      6      5      2
          s373       4      1      5      2      3      6
          s374       4      1      5      2      6      3
          s375       4      1      5      3      2      6
          s376       4      1      5      3      6      2
          s377       4      1      5      6      2      3
          s378       4      1      5      6      3      2
          s379       4      1      6      2      3      5
          s380       4      1      6      2      5      3
          s381       4      1      6      3      2      5
          s382       4      1      6      3      5      2
          s383       4      1      6      5      2      3
          s384       4      1      6      5      3      2
          s385       4      2      1      3      5      6
          s386       4      2      1      3      6      5
          s387       4      2      1      5      3      6
          s388       4      2      1      5      6      3
          s389       4      2      1      6      3      5
          s390       4      2      1      6      5      3
          s391       4      2      3      1      5      6
          s392       4      2      3      1      6      5
          s393       4      2      3      5      1      6
          s394       4      2      3      5      6      1
          s395       4      2      3      6      1      5
          s396       4      2      3      6      5      1
          s397       4      2      5      1      3      6
          s398       4      2      5      1      6      3
          s399       4      2      5      3      1      6
          s400       4      2      5      3      6      1
          s401       4      2      5      6      1      3
          s402       4      2      5      6      3      1
          s403       4      2      6      1      3      5
          s404       4      2      6      1      5      3
          s405       4      2      6      3      1      5
          s406       4      2      6      3      5      1
          s407       4      2      6      5      1      3
          s408       4      2      6      5      3      1
          s409       4      3      1      2      5      6
          s410       4      3      1      2      6      5
          s411       4      3      1      5      2      6
          s412       4      3      1      5      6      2
          s413       4      3      1      6      2      5
          s414       4      3      1      6      5      2
          s415       4      3      2      1      5      6
          s416       4      3      2      1      6      5
          s417       4      3      2      5      1      6
          s418       4      3      2      5      6      1
          s419       4      3      2      6      1      5
          s420       4      3      2      6      5      1
          s421       4      3      5      1      2      6
          s422       4      3      5      1      6      2
          s423       4      3      5      2      1      6
          s424       4      3      5      2      6      1
          s425       4      3      5      6      1      2
          s426       4      3      5      6      2      1
          s427       4      3      6      1      2      5
          s428       4      3      6      1      5      2
          s429       4      3      6      2      1      5
          s430       4      3      6      2      5      1
          s431       4      3      6      5      1      2
          s432       4      3      6      5      2      1
          s433       4      5      1      2      3      6
          s434       4      5      1      2      6      3
          s435       4      5      1      3      2      6
          s436       4      5      1      3      6      2
          s437       4      5      1      6      2      3
          s438       4      5      1      6      3      2
          s439       4      5      2      1      3      6
          s440       4      5      2      1      6      3
          s441       4      5      2      3      1      6
          s442       4      5      2      3      6      1
          s443       4      5      2      6      1      3
          s444       4      5      2      6      3      1
          s445       4      5      3      1      2      6
          s446       4      5      3      1      6      2
          s447       4      5      3      2      1      6
          s448       4      5      3      2      6      1
          s449       4      5      3      6      1      2
          s450       4      5      3      6      2      1
          s451       4      5      6      1      2      3
          s452       4      5      6      1      3      2
          s453       4      5      6      2      1      3
          s454       4      5      6      2      3      1
          s455       4      5      6      3      1      2
          s456       4      5      6      3      2      1
          s457       4      6      1      2      3      5
          s458       4      6      1      2      5      3
          s459       4      6      1      3      2      5
          s460       4      6      1      3      5      2
          s461       4      6      1      5      2      3
          s462       4      6      1      5      3      2
          s463       4      6      2      1      3      5
          s464       4      6      2      1      5      3
          s465       4      6      2      3      1      5
          s466       4      6      2      3      5      1
          s467       4      6      2      5      1      3
          s468       4      6      2      5      3      1
          s469       4      6      3      1      2      5
          s470       4      6      3      1      5      2
          s471       4      6      3      2      1      5
          s472       4      6      3      2      5      1
          s473       4      6      3      5      1      2
          s474       4      6      3      5      2      1
          s475       4      6      5      1      2      3
          s476       4      6      5      1      3      2
          s477       4      6      5      2      1      3
          s478       4      6      5      2      3      1
          s479       4      6      5      3      1      2
          s480       4      6      5      3      2      1
          s481       5      1      2      3      4      6
          s482       5      1      2      3      6      4
          s483       5      1      2      4      3      6
          s484       5      1      2      4      6      3
          s485       5      1      2      6      3      4
          s486       5      1      2      6      4      3
          s487       5      1      3      2      4      6
          s488       5      1      3      2      6      4
          s489       5      1      3      4      2      6
          s490       5      1      3      4      6      2
          s491       5      1      3      6      2      4
          s492       5      1      3      6      4      2
          s493       5      1      4      2      3      6
          s494       5      1      4      2      6      3
          s495       5      1      4      3      2      6
          s496       5      1      4      3      6      2
          s497       5      1      4      6      2      3
          s498       5      1      4      6      3      2
          s499       5      1      6      2      3      4
          s500       5      1      6      2      4      3
          s501       5      1      6      3      2      4
          s502       5      1      6      3      4      2
          s503       5      1      6      4      2      3
          s504       5      1      6      4      3      2
          s505       5      2      1      3      4      6
          s506       5      2      1      3      6      4
          s507       5      2      1      4      3      6
          s508       5      2      1      4      6      3
          s509       5      2      1      6      3      4
          s510       5      2      1      6      4      3
          s511       5      2      3      1      4      6
          s512       5      2      3      1      6      4
          s513       5      2      3      4      1      6
          s514       5      2      3      4      6      1
          s515       5      2      3      6      1      4
          s516       5      2      3      6      4      1
          s517       5      2      4      1      3      6
          s518       5      2      4      1      6      3
          s519       5      2      4      3      1      6
          s520       5      2      4      3      6      1
          s521       5      2      4      6      1      3
          s522       5      2      4      6      3      1
          s523       5      2      6      1      3      4
          s524       5      2      6      1      4      3
          s525       5      2      6      3      1      4
          s526       5      2      6      3      4      1
          s527       5      2      6      4      1      3
          s528       5      2      6      4      3      1
          s529       5      3      1      2      4      6
          s530       5      3      1      2      6      4
          s531       5      3      1      4      2      6
          s532       5      3      1      4      6      2
          s533       5      3      1      6      2      4
          s534       5      3      1      6      4      2
          s535       5      3      2      1      4      6
          s536       5      3      2      1      6      4
          s537       5      3      2      4      1      6
          s538       5      3      2      4      6      1
          s539       5      3      2      6      1      4
          s540       5      3      2      6      4      1
          s541       5      3      4      1      2      6
          s542       5      3      4      1      6      2
          s543       5      3      4      2      1      6
          s544       5      3      4      2      6      1
          s545       5      3      4      6      1      2
          s546       5      3      4      6      2      1
          s547       5      3      6      1      2      4
          s548       5      3      6      1      4      2
          s549       5      3      6      2      1      4
          s550       5      3      6      2      4      1
          s551       5      3      6      4      1      2
          s552       5      3      6      4      2      1
          s553       5      4      1      2      3      6
          s554       5      4      1      2      6      3
          s555       5      4      1      3      2      6
          s556       5      4      1      3      6      2
          s557       5      4      1      6      2      3
          s558       5      4      1      6      3      2
          s559       5      4      2      1      3      6
          s560       5      4      2      1      6      3
          s561       5      4      2      3      1      6
          s562       5      4      2      3      6      1
          s563       5      4      2      6      1      3
          s564       5      4      2      6      3      1
          s565       5      4      3      1      2      6
          s566       5      4      3      1      6      2
          s567       5      4      3      2      1      6
          s568       5      4      3      2      6      1
          s569       5      4      3      6      1      2
          s570       5      4      3      6      2      1
          s571       5      4      6      1      2      3
          s572       5      4      6      1      3      2
          s573       5      4      6      2      1      3
          s574       5      4      6      2      3      1
          s575       5      4      6      3      1      2
          s576       5      4      6      3      2      1
          s577       5      6      1      2      3      4
          s578       5      6      1      2      4      3
          s579       5      6      1      3      2      4
          s580       5      6      1      3      4      2
          s581       5      6      1      4      2      3
          s582       5      6      1      4      3      2
          s583       5      6      2      1      3      4
          s584       5      6      2      1      4      3
          s585       5      6      2      3      1      4
          s586       5      6      2      3      4      1
          s587       5      6      2      4      1      3
          s588       5      6      2      4      3      1
          s589       5      6      3      1      2      4
          s590       5      6      3      1      4      2
          s591       5      6      3      2      1      4
          s592       5      6      3      2      4      1
          s593       5      6      3      4      1      2
          s594       5      6      3      4      2      1
          s595       5      6      4      1      2      3
          s596       5      6      4      1      3      2
          s597       5      6      4      2      1      3
          s598       5      6      4      2      3      1
          s599       5      6      4      3      1      2
          s600       5      6      4      3      2      1
          s601       6      1      2      3      4      5
          s602       6      1      2      3      5      4
          s603       6      1      2      4      3      5
          s604       6      1      2      4      5      3
          s605       6      1      2      5      3      4
          s606       6      1      2      5      4      3
          s607       6      1      3      2      4      5
          s608       6      1      3      2      5      4
          s609       6      1      3      4      2      5
          s610       6      1      3      4      5      2
          s611       6      1      3      5      2      4
          s612       6      1      3      5      4      2
          s613       6      1      4      2      3      5
          s614       6      1      4      2      5      3
          s615       6      1      4      3      2      5
          s616       6      1      4      3      5      2
          s617       6      1      4      5      2      3
          s618       6      1      4      5      3      2
          s619       6      1      5      2      3      4
          s620       6      1      5      2      4      3
          s621       6      1      5      3      2      4
          s622       6      1      5      3      4      2
          s623       6      1      5      4      2      3
          s624       6      1      5      4      3      2
          s625       6      2      1      3      4      5
          s626       6      2      1      3      5      4
          s627       6      2      1      4      3      5
          s628       6      2      1      4      5      3
          s629       6      2      1      5      3      4
          s630       6      2      1      5      4      3
          s631       6      2      3      1      4      5
          s632       6      2      3      1      5      4
          s633       6      2      3      4      1      5
          s634       6      2      3      4      5      1
          s635       6      2      3      5      1      4
          s636       6      2      3      5      4      1
          s637       6      2      4      1      3      5
          s638       6      2      4      1      5      3
          s639       6      2      4      3      1      5
          s640       6      2      4      3      5      1
          s641       6      2      4      5      1      3
          s642       6      2      4      5      3      1
          s643       6      2      5      1      3      4
          s644       6      2      5      1      4      3
          s645       6      2      5      3      1      4
          s646       6      2      5      3      4      1
          s647       6      2      5      4      1      3
          s648       6      2      5      4      3      1
          s649       6      3      1      2      4      5
          s650       6      3      1      2      5      4
          s651       6      3      1      4      2      5
          s652       6      3      1      4      5      2
          s653       6      3      1      5      2      4
          s654       6      3      1      5      4      2
          s655       6      3      2      1      4      5
          s656       6      3      2      1      5      4
          s657       6      3      2      4      1      5
          s658       6      3      2      4      5      1
          s659       6      3      2      5      1      4
          s660       6      3      2      5      4      1
          s661       6      3      4      1      2      5
          s662       6      3      4      1      5      2
          s663       6      3      4      2      1      5
          s664       6      3      4      2      5      1
          s665       6      3      4      5      1      2
          s666       6      3      4      5      2      1
          s667       6      3      5      1      2      4
          s668       6      3      5      1      4      2
          s669       6      3      5      2      1      4
          s670       6      3      5      2      4      1
          s671       6      3      5      4      1      2
          s672       6      3      5      4      2      1
          s673       6      4      1      2      3      5
          s674       6      4      1      2      5      3
          s675       6      4      1      3      2      5
          s676       6      4      1      3      5      2
          s677       6      4      1      5      2      3
          s678       6      4      1      5      3      2
          s679       6      4      2      1      3      5
          s680       6      4      2      1      5      3
          s681       6      4      2      3      1      5
          s682       6      4      2      3      5      1
          s683       6      4      2      5      1      3
          s684       6      4      2      5      3      1
          s685       6      4      3      1      2      5
          s686       6      4      3      1      5      2
          s687       6      4      3      2      1      5
          s688       6      4      3      2      5      1
          s689       6      4      3      5      1      2
          s690       6      4      3      5      2      1
          s691       6      4      5      1      2      3
          s692       6      4      5      1      3      2
          s693       6      4      5      2      1      3
          s694       6      4      5      2      3      1
          s695       6      4      5      3      1      2
          s696       6      4      5      3      2      1
          s697       6      5      1      2      3      4
          s698       6      5      1      2      4      3
          s699       6      5      1      3      2      4
          s700       6      5      1      3      4      2
          s701       6      5      1      4      2      3
          s702       6      5      1      4      3      2
          s703       6      5      2      1      3      4
          s704       6      5      2      1      4      3
          s705       6      5      2      3      1      4
          s706       6      5      2      3      4      1
          s707       6      5      2      4      1      3
          s708       6      5      2      4      3      1
          s709       6      5      3      1      2      4
          s710       6      5      3      1      4      2
          s711       6      5      3      2      1      4
          s712       6      5      3      2      4      1
          s713       6      5      3      4      1      2
          s714       6      5      3      4      2      1
          s715       6      5      4      1      2      3
          s716       6      5      4      1      3      2
          s717       6      5      4      2      1      3
          s718       6      5      4      2      3      1
          s719       6      5      4      3      1      2
          s720       6      5      4      3      2      1  ;

$offtext
